Couname,PH3COUNTRY,PH2Country,industry,org,uniorg,ceocode,entrepre,promoted,link,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119
319,Solomon Islands                                                            ,90,NA,NA,27,90027,NA,NA,NA,900273,7,7,6,7,7,6,6,5,6,7,7,7,6,6,0,6,7,6,6,6,5,6,4,6,5,6,1,2,6,5,5,5,1,0,5,6,6,6,5,2,7,5,7,4,4,6,4,6,4,5,6,6,6,6,6,6,6,6,1,6,4,4,4,6,6,6,7,6,7,7,7,7,6,6,6,6,3,7,6,5,7,7,4,6,5,7,7,7,7,7,4,7,7,7,7,7,7,6,7,7,6,7,4,7,7,6,5,6,6,5,6,6,7,5,31,1,16,0,3
320,Solomon Islands                                                            ,90,NA,NA,31,90031,NA,NA,NA,900311,3,3,3,1,1,2,2,6,2,3,3,3,3,3,5,3,5,6,3,5,6,2,2,2,5,4,5,6,1,1,4,2,6,3,6,2,6,6,2,1,2,6,5,6,2,2,2,2,2,2,2,5,5,5,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,2,2,7,2,2,2,2,2,2,3,1,2,1,7,1,1,1,2,6,7,6,6,6,5,5,4,4,4,6,6,7,5,5,3,6,7,2,31,1,18,2,3
321,Solomon Islands                                                            ,90,NA,NA,31,90031,NA,NA,NA,900312,7,5,7,5,7,7,7,1,5,6,4,5,1,5,3,7,7,6,1,7,5,4,7,6,4,7,7,7,5,5,7,7,7,5,7,7,7,7,7,7,6,7,6,5,7,2,7,5,7,6,5,6,6,4,3,5,0,5,1,7,5,7,2,6,5,7,7,6,5,3,7,7,6,5,0,4,5,5,6,3,2,6,5,7,6,5,6,0,7,7,7,5,6,7,7,6,5,7,7,6,6,7,7,7,7,7,7,7,6,0,7,7,7,5,37,1,17,2,3
322,Solomon Islands                                                            ,90,NA,NA,33,90033,NA,NA,NA,900331,7,7,5,7,7,7,7,5,7,7,7,7,1,7,1,7,7,7,7,4,7,7,1,7,4,3,1,1,6,7,1,7,1,6,5,7,6,1,7,2,7,2,7,1,7,7,2,6,6,6,7,2,7,5,6,6,7,7,1,7,2,1,7,7,2,7,7,7,7,1,6,7,7,1,7,7,2,6,7,1,7,7,2,6,6,5,7,7,7,6,3,6,7,7,7,6,7,7,7,5,5,5,2,6,7,7,7,7,4,4,2,7,7,1,43,1,15,3,4
323,Solomon Islands                                                            ,90,NA,NA,33,90033,NA,NA,NA,900332,7,7,6,7,7,7,7,7,7,5,7,6,7,7,4,7,7,7,6,3,7,7,1,7,2,7,1,1,4,7,1,7,1,1,4,7,7,4,7,1,7,7,7,3,7,6,3,6,4,4,7,5,6,6,4,7,6,7,1,7,4,4,1,7,4,7,7,7,7,4,7,4,7,4,7,7,1,7,7,4,7,7,4,5,7,7,0,4,6,7,5,6,7,7,7,4,7,7,7,7,7,7,1,7,7,7,7,7,7,7,1,7,7,5,36,1,13,4,3
324,Solomon Islands                                                            ,90,NA,NA,44,90044,NA,NA,NA,900441,6,7,5,3,7,7,4,3,5,7,2,4,3,7,0,5,7,6,5,7,5,7,4,7,1,3,6,7,4,2,1,4,4,0,6,3,6,4,6,4,2,4,7,4,4,2,4,3,4,4,3,6,4,5,3,4,2,6,1,6,2,4,6,2,3,4,1,5,1,7,3,4,3,6,1,7,3,5,6,3,3,2,4,6,4,4,5,7,5,6,3,6,2,5,4,4,1,2,5,4,4,7,3,4,6,6,3,6,6,1,4,3,7,1,30,1,12,2,2
325,Solomon Islands                                                            ,90,NA,NA,44,90044,NA,NA,NA,900442,6,6,6,5,5,5,6,2,2,4,4,6,1,5,0,5,4,3,5,4,3,3,7,5,5,4,4,5,5,5,6,5,5,0,2,5,5,6,5,2,5,6,4,4,4,3,5,2,2,5,5,6,5,3,5,6,6,4,4,6,6,2,5,6,6,3,2,5,6,4,4,3,5,5,6,6,5,3,5,6,4,5,2,5,5,5,6,4,6,5,7,6,6,7,7,6,4,4,4,6,6,5,4,7,7,7,7,2,2,5,2,7,7,1,30,1,0,2,2
326,Solomon Islands                                                            ,90,NA,NA,45,90045,NA,NA,NA,900451,7,7,6,5,5,7,6,1,1,7,7,6,7,7,0,7,7,7,6,5,7,7,2,7,7,6,1,1,7,7,7,7,6,0,7,6,7,6,1,7,6,7,6,5,5,4,4,7,7,7,7,7,7,7,7,7,6,5,5,7,7,7,4,4,5,5,5,6,7,7,6,7,7,6,7,7,5,7,6,7,5,7,7,7,7,1,4,1,5,7,7,6,5,7,7,7,7,7,6,7,7,7,1,6,7,NA,7,7,7,7,NA,6,7,5,45,1,8,0,0
327,Solomon Islands                                                            ,90,NA,NA,47,90047,NA,NA,NA,900471,3,1,4,6,2,7,5,5,4,3,5,4,6,7,4,5,4,3,2,5,2,3,4,1,4,5,6,3,5,3,5,2,3,2,2,4,2,3,2,3,5,1,2,2,3,2,2,4,4,4,5,3,2,4,5,3,4,2,4,1,2,6,5,3,2,2,3,4,2,1,2,4,3,3,4,3,6,5,4,2,5,4,5,6,1,3,7,5,3,6,7,6,1,4,5,6,2,3,4,2,1,3,2,3,5,6,7,6,4,3,2,4,4,NA,43,1,8,1,2
328,Solomon Islands                                                            ,90,NA,NA,48,90048,NA,NA,NA,900481,7,7,6,3,2,4,2,4,4,4,5,5,3,3,5,5,6,5,6,5,5,5,5,5,5,5,4,4,3,3,5,5,4,4,5,5,3,4,5,3,5,2,4,5,5,5,5,4,5,4,3,5,4,3,2,5,4,4,4,5,4,4,5,5,3,3,4,5,5,3,3,3,4,4,5,5,3,5,5,3,1,3,4,5,5,1,7,7,7,6,7,3,5,6,6,6,6,7,5,6,6,6,6,3,6,6,6,6,5,5,2,5,6,2,40,1,13,2,3
329,Solomon Islands                                                            ,90,NA,NA,48,90048,NA,NA,NA,900482,6,7,6,6,6,5,6,3,6,6,4,4,4,3,7,7,6,6,7,0,0,6,5,5,5,6,2,1,7,7,5,7,2,1,0,7,7,6,7,7,7,7,7,5,6,7,5,6,5,6,6,7,6,6,5,6,5,6,2,7,7,1,1,7,6,5,6,6,7,7,6,6,6,2,7,6,1,6,5,5,5,6,1,6,6,4,5,6,5,6,7,6,NA,7,7,5,6,7,6,6,6,6,4,5,6,6,6,6,5,6,4,7,6,1,42,1,12,2,3
330,Solomon Islands                                                            ,90,NA,NA,49,90049,NA,NA,NA,900491,7,6,6,7,7,7,7,6,7,7,7,7,5,7,0,6,6,5,5,4,4,5,4,5,5,6,2,2,6,6,4,6,2,0,4,6,6,6,5,4,6,6,6,2,3,6,6,6,6,6,5,4,6,4,6,4,4,6,4,7,6,4,4,4,5,6,6,5,5,5,6,5,6,4,6,6,4,5,5,5,5,5,4,5,6,5,NA,3,4,5,5,4,6,6,5,5,5,5,4,4,5,6,4,5,4,4,4,4,4,4,4,5,5,15,38,1,0,0,3
331,Solomon Islands                                                            ,90,NA,NA,50,90050,NA,NA,NA,900501,6,6,6,6,7,6,6,5,5,6,6,6,5,6,4,6,5,6,5,6,5,5,4,6,5,5,5,4,6,5,5,6,5,2,5,6,6,5,5,5,6,6,6,5,5,5,5,6,5,5,6,6,6,4,6,5,5,6,3,6,3,5,5,6,5,6,5,5,6,6,6,5,5,3,6,0,5,6,6,6,5,7,5,4,5,5,4,6,6,6,5,5,6,7,6,5,7,7,6,6,6,6,5,5,5,6,6,6,5,5,4,5,6,3,50,1,7,2,3
332,Solomon Islands                                                            ,90,NA,NA,50,90050,NA,NA,NA,900502,6,5,6,5,4,5,5,4,4,5,6,5,4,4,5,5,5,6,6,4,4,5,6,6,6,6,5,3,4,5,5,5,4,3,4,6,6,6,6,6,6,6,6,6,6,5,4,4,4,5,5,5,4,4,5,5,5,5,5,6,5,3,4,5,5,6,6,5,4,5,7,5,6,6,6,5,6,6,5,6,4,4,5,4,6,6,4,5,4,5,6,6,6,5,5,5,4,5,5,6,5,5,5,5,4,5,5,5,5,4,0,5,4,1,0,1,0,2,2
333,Solomon Islands                                                            ,90,NA,NA,52,90052,NA,NA,NA,900521,7,7,6,7,7,7,7,7,6,7,6,6,5,7,0,6,6,7,7,7,7,7,7,7,6,7,6,5,7,7,6,7,6,0,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,5,5,7,7,7,7,7,6,7,6,7,7,7,7,7,7,5,7,7,6,7,7,6,6,6,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,5,6,4,5,5,6,6,6,7,5,5,7,7,1,47,1,16,0,2
334,Solomon Islands                                                            ,90,NA,NA,53,90053,NA,NA,NA,900531,6,6,7,6,6,7,6,4,5,6,6,7,5,6,1,6,7,7,6,6,3,7,1,7,2,3,1,2,5,7,3,4,2,1,6,6,7,6,7,4,7,6,6,4,6,7,0,6,7,6,7,4,6,4,4,7,4,7,1,7,2,1,1,6,6,6,5,4,6,7,7,7,7,6,7,6,1,6,6,4,7,7,6,7,7,6,2,4,6,5,2,7,6,7,7,5,7,6,6,7,7,6,7,7,7,6,6,6,6,6,4,6,5,9,46,1,20,2,4
335,Solomon Islands                                                            ,90,NA,NA,53,90053,NA,NA,NA,900532,7,7,7,7,7,7,7,6,7,7,7,7,6,7,0,7,7,7,7,7,0,7,1,7,6,7,1,1,6,7,5,7,1,0,4,7,7,6,7,1,7,4,6,1,7,7,7,7,2,7,7,6,7,4,6,7,5,7,1,7,1,1,6,7,1,7,7,7,7,2,7,NA,2,7,7,7,1,6,6,5,7,7,6,2,6,7,7,7,6,6,1,7,7,7,7,6,5,6,5,5,4,5,5,5,5,6,5,5,4,5,4,7,5,1,46,1,15,2,4
336,Solomon Islands                                                            ,90,NA,NA,53,90053,NA,NA,NA,900533,5,5,4,3,5,6,5,6,4,3,3,4,3,4,3,5,5,3,5,5,3,4,6,3,4,4,4,5,4,5,4,5,3,2,5,5,6,6,5,4,3,3,6,5,6,4,6,6,4,5,5,6,5,6,5,5,5,5,2,6,6,5,4,6,6,4,4,5,6,6,6,6,5,3,6,5,3,3,3,5,6,5,3,5,5,6,6,6,6,6,5,4,4,6,6,6,7,7,6,7,6,6,7,7,6,6,6,6,5,6,4,6,7,5,39,1,18,3,4
337,Solomon Islands                                                            ,90,NA,NA,56,90056,NA,NA,NA,900561,3,2,5,0,6,3,5,1,4,2,3,5,6,7,0,3,1,5,7,1,6,5,5,1,1,3,4,5,1,1,3,5,5,4,2,6,5,1,1,4,2,4,5,5,2,2,1,5,3,2,2,2,4,3,3,2,1,2,6,1,1,2,4,3,NA,5,5,3,2,3,3,5,2,4,2,1,4,5,4,3,4,5,6,4,3,5,6,6,5,5,3,5,3,3,5,5,3,NA,5,4,3,4,4,1,2,5,4,5,5,2,3,4,5,1,35,1,14,3,5
338,Solomon Islands                                                            ,90,NA,NA,56,90056,NA,NA,NA,900562,4,3,4,2,3,4,5,3,5,4,4,4,6,6,4,4,3,5,4,2,4,5,3,2,4,4,6,2,4,4,4,2,4,1,3,2,3,2,4,7,5,3,2,4,4,4,3,4,7,7,5,7,5,7,5,3,4,4,1,3,6,6,5,5,5,6,3,2,4,4,4,7,5,2,5,4,2,4,6,3,7,7,4,4,3,3,6,7,6,6,7,3,5,5,6,5,7,7,7,6,6,7,5,7,7,5,6,6,6,5,4,7,7,5,23,1,8,2,4
339,Solomon Islands                                                            ,90,NA,NA,56,90056,NA,NA,NA,900563,6,5,7,7,6,6,7,4,4,7,7,7,4,5,1,7,7,7,7,6,6,6,6,7,3,5,1,4,7,7,3,5,1,1,1,7,7,1,4,1,6,5,7,1,7,4,7,6,7,7,6,7,7,6,4,5,1,6,1,4,1,1,1,4,1,7,1,4,7,1,7,7,7,4,7,7,1,7,7,6,7,7,5,7,7,3,6,6,7,2,5,5,7,7,7,7,7,7,4,7,7,4,2,1,1,4,7,5,5,2,2,7,4,11,26,1,20,2,3
340,Solomon Islands                                                            ,90,NA,NA,58,90058,NA,NA,NA,900581,5,4,4,5,4,5,4,5,4,5,4,5,4,5,0,4,4,5,5,4,4,4,5,4,5,4,5,4,5,4,4,4,4,2,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,3,4,5,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,4,4,4,5,4,3,5,4,5,5,5,6,5,4,5,5,4,4,4,5,5,4,4,5,32,1,12,3,3
341,Solomon Islands                                                            ,90,NA,NA,58,90058,NA,NA,NA,900582,4,4,4,3,4,5,4,3,3,4,3,3,4,3,5,4,4,5,5,5,4,5,4,5,5,4,3,3,5,4,4,5,5,0,4,4,4,4,4,5,5,5,4,4,4,4,5,5,5,5,5,4,4,5,5,5,5,4,4,5,4,5,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,4,5,5,5,4,5,5,5,5,5,6,6,5,5,5,6,6,6,5,5,5,5,5,5,5,4,5,5,5,5,30,1,8,3,3
342,Solomon Islands                                                            ,90,NA,NA,60,90060,NA,NA,NA,900601,7,7,6,6,6,6,5,3,7,7,6,6,1,7,0,7,7,7,7,6,7,6,4,7,5,7,2,3,2,5,4,6,4,0,1,5,6,6,7,2,7,7,6,3,2,7,7,6,6,5,7,7,5,6,5,3,4,3,7,7,2,2,1,7,5,6,6,6,7,7,6,6,6,5,6,6,2,7,2,2,6,6,2,1,2,1,6,7,7,5,7,7,3,7,7,6,7,7,7,4,6,7,7,4,6,7,7,7,4,4,2,6,6,5,50,1,5,2,3
343,Solomon Islands                                                            ,90,NA,NA,60,90060,NA,NA,NA,900602,7,7,7,7,6,0,5,6,3,6,7,5,1,7,0,6,4,6,5,0,5,6,4,7,6,7,1,2,6,5,3,6,1,0,3,5,6,5,7,7,6,2,7,1,5,6,5,7,6,0,5,6,5,5,6,4,6,7,2,5,3,1,2,5,6,6,7,7,6,6,7,7,6,5,7,6,3,6,7,6,7,6,5,6,6,6,3,5,3,3,0,5,3,7,7,7,7,7,7,7,7,7,7,7,7,2,7,2,5,7,7,7,7,11,56,1,7,1,3
344,Solomon Islands                                                            ,90,NA,NA,64,90064,NA,NA,NA,900641,5,6,7,6,5,7,5,4,5,7,6,5,6,7,0,6,5,7,5,4,6,7,7,7,5,4,5,2,6,7,5,6,5,0,3,4,5,6,7,7,5,7,6,1,4,1,3,7,5,6,5,5,7,6,7,4,3,5,1,4,6,4,3,5,6,7,7,6,5,6,5,5,4,6,7,4,4,5,6,7,7,5,4,5,7,5,6,5,5,3,3,5,7,5,7,5,6,6,5,6,2,6,2,6,4,6,5,5,2,6,3,5,5,13,40,1,0,0,1
345,Solomon Islands                                                            ,90,NA,NA,64,90064,NA,NA,NA,900642,6,3,5,6,5,6,6,1,2,3,3,0,1,5,0,2,5,7,7,5,7,6,5,5,5,2,7,5,6,5,6,6,6,0,2,1,6,2,6,6,6,2,6,3,3,6,1,2,5,3,6,6,3,7,6,6,5,1,3,5,7,5,5,5,3,5,6,6,5,5,5,1,6,5,6,5,5,3,5,7,5,5,4,6,2,3,7,6,6,4,2,3,3,7,6,6,7,7,7,4,3,6,4,6,6,6,7,7,4,NA,NA,NA,NA,1,48,1,0,3,5
346,Solomon Islands                                                            ,90,NA,NA,67,90067,NA,NA,NA,900671,7,7,7,5,6,7,7,4,3,7,5,7,1,7,0,7,2,6,7,2,6,0,7,5,5,5,1,4,7,3,3,5,1,0,1,5,7,7,5,4,6,7,7,5,5,3,7,7,7,6,7,7,7,6,3,4,4,7,1,7,4,5,5,6,6,7,6,7,7,7,6,7,6,3,4,5,1,7,7,7,6,7,4,7,7,4,6,5,7,5,4,6,1,7,7,5,4,5,5,7,7,4,7,4,6,7,3,5,4,7,5,5,7,3,27,1,10,1,2
347,Solomon Islands                                                            ,90,NA,NA,67,90067,NA,NA,NA,900672,5,7,1,7,4,2,1,5,7,1,5,4,3,3,0,7,4,2,4,7,2,2,7,1,6,4,5,2,3,6,5,4,3,0,1,3,6,5,7,6,4,7,5,5,4,1,1,2,7,6,4,5,6,1,5,5,3,1,2,7,6,7,0,5,7,7,4,5,7,1,4,1,5,1,2,4,3,6,3,7,2,4,5,3,5,3,2,5,6,7,4,4,7,5,1,1,2,2,7,7,6,7,1,2,5,7,7,7,6,1,3,7,4,12,37,1,6,1,3
348,Solomon Islands                                                            ,90,NA,NA,73,90073,NA,NA,NA,900731,7,7,7,7,7,7,7,1,7,7,7,7,7,7,0,6,7,7,7,7,7,7,7,7,7,6,1,1,7,7,7,7,1,0,7,7,7,1,7,7,7,1,7,1,7,7,7,7,6,7,7,1,7,7,7,7,7,7,1,7,7,7,NA,7,7,7,7,7,7,7,7,7,7,NA,7,7,1,7,7,7,7,7,1,7,7,7,7,7,7,7,2,7,7,7,7,7,6,6,7,6,6,6,6,7,6,6,6,6,NA,2,5,6,6,11,34,1,4,0,3
349,Solomon Islands                                                            ,90,NA,NA,73,90073,NA,NA,NA,900732,7,3,7,7,4,7,6,1,7,4,7,4,4,7,0,7,7,7,7,4,4,7,0,7,4,7,1,1,7,7,4,7,1,0,4,7,7,1,7,4,7,1,4,1,4,4,7,7,4,4,7,7,4,7,7,7,4,7,1,7,4,4,4,7,4,7,7,4,7,1,7,7,7,1,7,7,1,4,7,4,7,7,1,4,4,4,5,4,5,7,1,6,4,7,7,6,5,6,6,6,5,6,1,6,6,6,6,2,6,6,2,6,2,1,36,2,4,0,3
350,Solomon Islands                                                            ,90,NA,NA,73,90073,NA,NA,NA,900733,7,5,7,7,6,7,7,2,4,7,6,6,6,7,0,7,7,7,6,3,7,7,5,6,7,7,1,1,7,7,2,7,1,0,6,7,7,1,6,5,6,6,7,2,7,7,5,6,6,6,7,5,7,4,6,6,4,7,1,7,6,2,5,7,2,7,7,6,7,4,7,7,6,1,7,7,2,6,6,5,7,7,2,6,7,6,7,4,6,6,2,6,6,6,3,5,4,5,6,2,6,5,5,6,6,4,2,4,4,4,1,5,5,15,42,2,17,0,3
351,China                                                                      ,156,China,421,1,156001,1,NA,NA,1560011,6,7,5,6,6,6,5,1,6,6,5,6,5,6,6,5,6,5,6,5,5,6,5,6,5,6,1,2,5,6,1,6,1,1,4,5,6,7,6,5,6,4,6,1,5,6,5,5,4,5,6,6,6,5,6,5,1,6,2,5,4,5,4,4,6,6,6,6,6,7,6,6,6,5,6,6,5,5,5,5,6,6,4,5,7,6,7,6,6,7,2,6,6,6,7,6,NA,6,6,5,5,5,6,6,6,6,6,5,6,5,5,4,4,1,32,1,12,1,2
352,China                                                                      ,156,China,421,1,156001,2,NA,NA,1560012,7,6,7,7,7,7,7,4,7,6,7,7,4,6,6,6,7,6,6,7,7,7,5,7,7,7,1,1,7,7,2,6,1,1,4,7,7,7,7,4,7,4,7,1,7,6,3,7,3,7,7,7,7,7,7,7,1,7,1,7,4,4,4,7,3,7,7,7,7,7,7,4,7,1,7,1,7,7,4,NA,7,7,1,7,7,4,7,7,7,7,1,7,7,7,7,5,NA,7,7,6,6,6,7,6,7,6,6,7,3,4,2,6,6,3,29,1,14,2,2
353,China                                                                      ,156,China,421,1,156001,3,NA,NA,1560013,7,7,4,7,7,7,6,1,7,7,7,7,4,7,6,6,7,7,7,5,6,7,4,6,6,6,1,1,6,6,1,6,1,1,5,7,7,6,6,7,7,4,6,1,6,7,6,6,3,4,6,6,6,NA,5,6,5,2,1,7,1,1,1,6,4,7,7,7,7,1,6,4,6,1,7,7,1,7,6,6,4,7,1,4,7,4,6,6,7,7,1,6,6,6,6,6,NA,7,6,5,4,4,NA,5,6,6,5,5,4,5,3,5,6,4,48,1,10,2,2
354,China                                                                      ,156,China,314,2,156002,1,NA,NA,1560021,4,4,4,4,5,4,3,4,5,4,5,4,2,5,4,3,4,4,4,6,4,3,4,4,4,3,3,4,5,4,4,3,5,4,4,5,4,4,4,4,3,4,5,4,4,5,4,3,3,3,4,4,4,4,4,3,4,3,4,4,5,3,4,4,5,4,4,4,5,4,4,4,3,3,4,4,4,4,4,5,3,5,3,4,4,4,7,5,7,5,3,3,4,6,4,5,7,6,5,4,3,6,6,4,6,7,6,6,5,5,2,6,6,NA,NA,2,NA,NA,NA
355,China                                                                      ,156,China,314,2,156002,2,NA,NA,1560022,5,5,5,5,4,5,4,1,7,7,6,7,1,7,5,4,6,6,5,4,4,5,3,5,5,4,1,3,5,5,4,5,1,3,4,6,6,6,6,4,5,5,6,3,6,6,5,4,4,4,5,5,5,3,6,4,4,4,2,6,6,3,4,4,6,6,5,5,6,6,6,4,5,3,5,5,2,4,4,3,2,5,5,5,5,4,5,6,6,5,3,3,6,7,6,5,NA,5,3,NA,NA,5,5,NA,4,4,5,5,NA,NA,5,6,6,8,50,2,9,2,2
356,China                                                                      ,156,China,314,2,156002,3,NA,NA,1560023,6,6,6,6,7,6,4,2,7,7,6,6,2,6,4,5,7,7,7,4,7,7,2,7,7,7,1,3,7,4,4,5,3,3,3,6,6,4,6,5,6,3,6,3,6,5,3,4,5,5,4,6,6,5,5,5,3,5,2,6,5,5,4,5,3,6,6,6,6,6,6,4,5,3,5,4,2,7,5,6,4,6,3,4,5,4,5,4,5,6,5,6,6,7,7,7,6,6,6,6,5,4,5,6,6,6,5,6,4,4,4,6,6,10,36,2,14,2,3
357,China                                                                      ,156,China,721,3,156003,1,NA,NA,1560031,7,6,3,5,6,6,1,4,4,4,4,4,4,5,NA,NA,5,NA,NA,NA,6,4,4,5,6,NA,1,4,4,4,1,6,1,1,2,5,4,4,5,NA,5,4,4,1,NA,NA,4,7,NA,1,NA,5,5,5,4,NA,NA,5,1,5,7,7,4,4,6,4,4,4,5,6,6,4,5,5,4,4,4,7,4,4,4,5,4,4,4,7,7,7,7,7,5,5,5,7,7,5,NA,7,7,7,6,5,7,6,5,7,6,5,5,5,3,4,3,1,30,2,8,1,2
358,China                                                                      ,156,China,721,3,156003,2,NA,NA,1560032,7,7,4,5,5,7,6,1,7,7,4,4,4,5,4,4,7,7,7,6,6,6,2,6,5,6,1,1,6,6,1,6,1,1,1,6,6,7,4,4,6,5,7,1,4,7,7,7,1,6,7,7,6,5,7,7,6,7,1,7,6,1,2,6,6,7,7,7,7,5,7,4,6,1,7,7,4,7,7,5,7,7,5,7,4,4,7,7,7,7,6,7,7,7,7,4,NA,7,7,6,3,4,4,4,4,7,4,7,4,4,4,7,7,1,26,1,15,1,2
359,China                                                                      ,156,China,721,3,156003,3,NA,NA,1560033,5,7,3,2,3,4,1,NA,4,7,4,5,1,4,3,4,6,6,7,3,3,6,1,6,7,7,1,2,6,4,1,4,1,1,2,6,7,7,5,3,6,1,7,2,4,1,6,7,3,3,5,6,7,4,5,6,2,7,1,7,3,5,4,6,6,6,7,5,4,6,5,6,5,3,4,5,2,4,7,7,1,5,6,6,7,6,6,7,7,7,6,2,5,7,7,3,NA,6,3,3,4,7,5,5,7,4,4,5,3,5,1,5,6,4,29,2,3,1,2
360,China                                                                      ,156,China,722,4,156004,1,NA,NA,1560041,5,6,6,5,5,6,5,5,5,6,7,7,6,7,6,6,6,6,6,3,5,5,4,5,5,5,2,2,5,5,4,4,1,1,1,7,7,1,5,3,5,6,4,5,6,6,4,3,4,3,3,3,5,6,4,5,6,5,1,6,6,5,3,5,6,4,5,6,5,5,6,5,5,1,5,6,1,5,5,7,5,6,6,5,5,4,6,5,5,6,5,4,7,7,7,6,NA,4,3,3,4,4,3,4,4,5,5,5,4,4,5,4,5,13,23,2,15,1,2
361,China                                                                      ,156,China,722,4,156004,2,NA,NA,1560042,7,7,7,7,6,7,3,5,4,7,4,7,1,7,7,4,7,6,6,7,6,6,7,6,6,7,1,1,7,5,4,7,1,1,1,7,7,6,6,6,7,3,6,1,7,7,4,6,3,6,7,7,7,6,7,6,1,1,7,6,4,4,3,6,7,7,7,7,7,4,7,6,6,2,6,6,3,6,6,4,6,6,5,5,6,5,6,4,5,6,5,4,7,7,5,5,NA,7,7,5,5,5,5,5,5,6,5,7,3,3,3,7,7,4,37,1,14,1,2
362,China                                                                      ,156,China,722,4,156004,3,NA,NA,1560043,6,7,6,7,6,7,6,1,7,7,4,6,1,6,7,4,7,7,7,7,4,4,6,6,7,6,1,1,6,6,5,7,1,1,6,7,7,7,7,6,6,3,7,1,6,7,1,5,2,6,6,5,7,4,6,5,1,7,1,7,4,2,3,6,5,4,4,5,6,7,7,4,6,1,5,5,1,6,5,6,3,5,4,4,6,5,6,4,5,6,5,4,7,7,5,5,NA,7,7,5,5,5,5,5,5,6,5,7,3,3,3,7,7,1,25,2,15,1,2
363,China                                                                      ,156,China,233,5,156005,1,NA,NA,1560051,3,2,5,1,2,4,2,1,6,4,5,4,6,4,4,1,2,3,3,5,5,2,6,1,5,2,6,6,5,1,6,6,5,7,6,4,6,6,7,5,2,7,6,6,5,1,2,1,4,2,6,2,3,5,4,2,6,1,4,5,6,5,4,5,5,2,1,4,6,2,3,1,5,2,1,3,7,2,3,7,4,5,5,4,5,4,7,6,6,1,5,2,1,7,7,7,4,4,3,2,3,2,3,4,2,6,3,6,2,2,3,6,7,1,39,2,10,2,2
364,China                                                                      ,156,China,233,5,156005,2,NA,NA,1560052,7,7,7,7,NA,7,7,2,7,7,7,7,1,7,6,4,7,5,5,6,6,NA,1,4,7,7,1,4,4,6,4,7,1,1,1,6,6,6,6,6,7,1,6,1,6,6,6,7,7,6,6,6,6,7,7,6,1,7,1,7,1,2,4,6,6,7,7,5,7,7,7,4,7,1,6,7,1,6,7,7,4,6,4,6,7,7,6,6,7,7,3,6,7,7,7,1,NA,7,7,7,7,7,5,7,7,7,7,7,7,NA,7,7,7,1,45,1,10,2,2
365,China                                                                      ,156,China,233,5,156005,3,NA,NA,1560053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,China                                                                      ,156,China,433,6,156006,1,NA,NA,1560061,6,6,5,3,3,6,6,1,4,5,5,4,4,5,5,6,6,7,7,5,7,6,1,6,5,3,1,1,3,5,3,5,2,3,3,6,6,5,4,3,5,6,5,4,5,2,5,5,5,5,5,5,4,4,5,4,3,5,2,6,7,4,5,5,5,6,5,5,6,6,5,6,6,1,5,5,6,5,4,2,6,6,4,3,6,5,7,7,6,6,3,4,6,7,7,7,NA,4,5,4,3,2,4,3,5,4,6,7,7,6,5,6,6,4,50,1,16,2,2
